Pid,Designator,Center-X(mm),Center-Y(mm),Rotation,Layer,Comment,Smd
42801,R19,30.365,111.5,90,Top,R_0402_10001,1
42801,R20,31.635,111.5,90,Top,R_0402_10001,1
42801,R21,32.905,111.5,90,Top,R_0402_10001,1
42801,R22,34.175,111.5,90,Top,R_0402_10001,1
42801,R23,35.445,111.5,90,Top,R_0402_10001,1
28148,R24,3.6,86.6,0,Top,R_0402_1000,1
28148,R25,19.127,86.6,0,Top,R_0402_1000,1
28148,R26,34.653,86.608,0,Top,R_0402_1000,1
28148,R27,50.18,86.608,0,Top,R_0402_1000,1
42801,R28,3.6,85.516,0,Top,R_0402_10001,1
42801,R29,19.127,85.516,0,Top,R_0402_10001,1
42801,R30,34.653,85.524,0,Top,R_0402_10001,1
42801,R31,50.18,85.524,0,Top,R_0402_10001,1
28148,R32,3.6,87.7,0,Top,R_0402_1000,1
28148,R33,19.127,87.7,0,Top,R_0402_1000,1
28148,R34,34.653,87.708,0,Top,R_0402_1000,1
28148,R35,50.18,87.708,0,Top,R_0402_1000,1
42801,R36,13,94.47,270,Top,R_0402_10001,1
42801,R37,18.5,97.46,180,Top,R_0402_10001,1
37757,S1,31,118,0,Top,DIPSW_8POS_SMD,1
28867,U1,40.2,100,90,Top,TPS54302DDCR,1
28135,U2,31,100,90,Top,STM32F030F4P6,1
19839,U3,45,117.5,90,Top,SN74HC165,1
